SampleCode,SampleType,AVG_Norm,contIndex
587518,ColoRectal,242.4430007,0.02291
587519,ColoRectal,823.095719,0.0203
636439,ColoRectal,585.3428378,0.02456
636129,HeadNeck,362.5794583,0.01837
636053,HeadNeck,321.0558484,0.03373
636148,HeadNeck,959.4189314,0.02495
636104,HeadNeck,499.7097331,0.02073
636814,HeadNeck,488.003189,0.02314
636096,HeadNeck,535.0480676,0.02325
636054,HeadNeck,257.0349189,0.04047
636105,HeadNeck,512.2460722,0.02272
636797,HeadNeck,484.4876243,0.02394
636130,HeadNeck,284.6700798,0.01808
639191,HeadNeck,259.2831617,0.01938
639194,HeadNeck,221.193939,0.02078
639195,HeadNeck,393.9740898,0.02354
639196,HeadNeck,233.091897,0.0188
639192,HeadNeck,600.9405597,0.01876
639193,HeadNeck,453.6036918,0.01853
636097,HeadNeck,343.9066525,0.02226
636779,HeadNeck,431.4999011,0.02148
636106,HeadNeck,626.37783,0.01891
636107,HeadNeck,436.1380573,0.01905
636056,Kidney,262.4111086,0.0259
636057,Kidney,508.0047135,0.03436
639179,Kidney,650.1960686,0.02351
636817,Kidney,432.2880577,0.01993
636131,Kidney,246.8648785,0.01767
636152,Kidney,522.2968791,0.01995
636058,Kidney,416.513541,0.02773
636153,Kidney,283.237683,0.02055
636833,Kidney,232.4854437,0.02303
636753,Kidney,398.901685,0.03312
636204,Kidney,398.8068318,0.03886
636758,Kidney,1024.514924,0.03027
636205,Kidney,289.7677406,0.02304
636059,Kidney,513.2799008,0.0322
636863,Liver,156.2913238,0.0198
636795,Liver,187.6026925,0.02538
636132,Liver,456.0728254,0.01882
636060,Liver,504.9768271,0.02719
636866,Liver,316.1279469,0.01846
636061,Liver,478.1871065,0.03459
636808,Liver,432.6050082,0.02192
636794,Liver,473.9643655,0.02041
636062,Liver,306.6336859,0.03023
636133,Liver,320.7119716,0.02208
636886,Liver,338.0643762,0.01616
636193,Liver,642.1239461,0.02026
636063,Liver,655.4925989,0.02864
636064,Liver,263.7421282,0.02735
637173,Liver,352.1747309,0.01586
636790,Liver,1339.22991,0.02217
587523,Lung,530.4231873,0.01721
635619,Lung,266.2873709,0.01721
635620,Lung,322.7170005,0.0201
637174,Lung,510.9137461,0.02388
636791,Lung,369.3189599,0.02015
639228,Lung,488.2808832,0.02518
587527,Lung,600.0785287,0.02187
587528,Lung,160.4749501,0.0183
636134,Lung,1567.79565,0.021
637189,Lung,351.270335,0.02137
636857,Lung,857.3715446,0.02174
636841,Lung,301.2571092,0.01678
636842,Lung,531.1423634,0.01865
636830,Lung,189.2476974,0.02194
636789,Lung,295.3855614,0.02121
639168,Lung,828.5545952,0.02109
639169,Lung,346.2426535,0.01986
636829,Lung,540.8369586,0.0184
636787,Lung,231.7354361,0.02778
587529,Lung,222.517516,0.02177
587533,Lung,925.0956121,0.02527
636788,Lung,442.5788356,0.01951
635621,Lung,583.945954,0.01937
587541,Lung,270.7181605,0.02432
636065,Lung,1108.042129,0.02767
636786,Lung,665.1448405,0.02425
636818,Lung,467.3644337,0.02237
636196,Lung,174.1370626,0.03669
636443,Lung,609.508042,0.02232
635622,Lung,514.975084,0.02753
636773,Lung,3296.041769,0.02893
636444,Lung,625.8115168,0.02306
635623,Lung,1086.439074,0.02201
639151,Lung,330.7498614,0.02662
636858,Lung,2265.44423,0.02153
636844,Lung,372.649632,0.02035
635624,Lung,630.318762,0.02113
635625,Lung,373.3481647,0.02069
636066,Lung,346.7033071,0.03242
636135,Lung,462.5367168,0.01922
636850,Lung,361.7405083,0.01846
636067,Lung,910.9033242,0.03193
636197,Lung,1160.767862,0.02715
635626,Lung,465.2037038,0.02501
635629,Lung,578.2239278,0.02226
635630,Lung,940.5467148,0.02556
636068,Lung,255.8140086,0.02692
587547,Lung,264.2761665,0.02437
636198,Lung,633.7917816,0.02551
636859,Lung,1019.711574,0.02253
636822,Lung,676.293416,0.02427
636751,Lung,225.1524465,0.02374
636759,Lung,143.9490977,0.02633
636826,Lung,499.1497639,0.02167
587551,Lung,309.2072471,0.03178
639170,Lung,366.244343,0.01712
635631,Lung,355.514195,0.03234
635632,Lung,290.0372173,0.02142
587534,Lung,919.688655,0.02375
587535,Lung,446.0299931,0.02969
636845,Lung,1037.064164,0.02826
587554,Lung,357.6575478,0.04027
636069,Lung,1502.45229,0.0384
636136,Lung,206.0356896,0.01644
587556,Lung,1410.728095,0.02644
587536,Lung,734.98662,0.02743
636199,Lung,769.7086077,0.02561
636772,Lung,2805.137684,0.02996
636824,Lung,283.5688711,0.0215
587557,Lung,590.8787449,0.02522
636823,Lung,1099.130922,0.02828
587559,Lung,635.5621332,0.02696
587537,Lung,496.9216593,0.02616
635633,Lung,463.167354,0.02286
636771,Lung,1409.766271,0.02875
588234,Lung,370.7910812,0.01912
635634,Lung,1346.726518,0.02349
587538,Lung,235.8521737,0.02509
587563,Lung,172.3128175,0.01957
587564,Lung,697.7754297,0.024
636770,Lung,1603.62092,0.02725
636819,Lung,1027.765729,0.02183
639171,Lung,2278.070872,0.01989
636445,Lung,291.9733161,0.02367
636809,Lung,288.2107551,0.02225
587565,Lung,415.2896369,0.01999
636811,Lung,2160.19301,0.02533
635635,Lung,722.1242381,0.02266
635636,Lung,1166.415711,0.02651
636750,Lung,465.6999521,0.02718
587569,Lung,371.6336455,0.02073
635637,Lung,1652.900263,0.02658
639172,Lung,429.1291864,0.01693
636769,Lung,534.8492379,0.03221
587571,Lung,93.00525074,0.02335
636137,Lung,2085.082385,0.02731
635638,Lung,434.6223642,0.02328
635639,Lung,1155.353994,0.02499
636860,Lung,934.0535832,0.01942
636138,Lung,702.1083729,0.02069
636810,Lung,410.2215295,0.02058
639173,Lung,560.4801491,0.0252
639174,Lung,686.3394588,0.03394
639175,Lung,401.487099,0.01756
635640,Lung,832.4510143,0.022
635641,Lung,499.5663781,0.01996
587577,Lung,263.4863543,0.03572
636802,Lung,528.8472204,0.0213
636763,Lung,605.4127002,0.02816
636766,Lung,495.6459352,0.02913
636767,Lung,729.313327,0.02709
636768,Lung,755.3790726,0.03296
636764,Lung,1444.680463,0.02894
639189,Lung,522.3118267,0.01938
636804,Lung,541.0138784,0.02472
639190,Lung,547.778277,0.02071
636803,Lung,729.5435914,0.02487
636805,Lung,1858.406032,0.02512
636852,Lung,226.7843079,0.02522
635642,Lung,771.9655401,0.02119
636070,Lung,433.8732576,0.02577
636846,Lung,1613.221682,0.0241
635643,Lung,753.0065038,0.02032
635644,Lung,508.7834562,0.02188
636139,Lung,283.8230443,0.01805
635645,Lung,543.7918846,0.0349
639176,Lung,291.7559488,0.01931
635646,Lung,312.5884227,0.02014
635974,Lung,588.1287026,0.02168
635975,Lung,1186.05626,0.02673
635976,Lung,287.7986585,0.02023
636071,Lung,139.3706602,0.03461
636831,Lung,440.5799381,0.02991
636072,Lung,134.2189775,0.02636
636812,Lung,495.3753125,0.0237
639152,Lung,450.2344158,0.02225
636776,Lung,508.7024963,0.0189
636884,Lung,692.6563451,0.02239
636073,Lung,464.5481349,0.03136
635977,Lung,2170.826547,0.02273
587596,Lung,458.2676429,0.02398
635978,Lung,236.5252449,0.02282
636140,Lung,939.6462005,0.0165
636785,Lung,613.6383752,0.02297
587598,Lung,301.4314513,0.02579
635979,Lung,422.849302,0.02245
639178,Lung,777.5547161,0.02051
